application_id,city,zip,application_submission_date,facility_type,sector,pv_capacity_kw,total_system_costs,total_rebate,mounting_location,ppa_lease,payment_status,geothermal_capacity_tons,solar_water_capacity_sq_ft,wind_capacity_kw
R00058,Selbyville,19975,2005-08-04 00:00:00,Geothermal,Residential,,23400.0,2700.0,,,Paid,4.5,,
R00059,Dagsboro,19939,2005-08-08 00:00:00,Geothermal,Residential,,20250.0,3000.0,,,Paid,5.0,,
R00062,Seaford,19973,2005-08-08 00:00:00,Geothermal,Residential,,17210.0,3000.0,,,Paid,6.5,,
R00057,Newark,19702,2005-08-08 00:00:00,Solar Water Heating,Residential,,7284.0,3000.0,,,Paid,,130.9,
R00060,South Bethany Beach,19930,2005-08-08 00:00:00,Geothermal,Residential,,25896.0,3000.0,,,Paid,5.0,,
R00063,Selbyville,19975,2005-08-09 00:00:00,Geothermal,Residential,,10295.0,2400.0,,,Paid,4.0,,
R00064,Laurel,19956,2005-08-09 00:00:00,Geothermal,Residential,,10125.0,3000.0,,,Paid,5.5,,
NR00011,Dagsboro,19939,2005-09-13 00:00:00,Geothermal,Non_Residential,,48950.0,9600.0,,,Paid,11.5,,
NR00010,Fenwick Island,19944,2005-09-20 00:00:00,Geothermal,Non_Residential,,28080.0,3600.0,,,Paid,6.0,,
R00067,Bear,19701,2005-11-07 00:00:00,Geothermal,Residential,,8675.0,3000.0,,,Paid,5.0,,
R00066,Middletown,19709,2005-11-07 00:00:00,PV,Residential,3.6,29108.0,14554.0,,,Paid,,,
R00065,Wilmington,19808,2005-11-07 00:00:00,PV,Residential,6.6,47494.87,22500.0,,,Paid,,,
R00080,Wilmington,19803,2005-11-29 00:00:00,Geothermal,Residential,,11600.0,2400.0,,,Paid,4.0,,
R00079,Georgetown,19947,2005-11-29 00:00:00,Geothermal,Residential,,26875.0,3000.0,,,Paid,5.5,,
NR00012,Ocean View,19970,2005-11-29 00:00:00,Geothermal,Non_Residential,,51480.0,6600.0,,,Paid,11.0,,
R00081,Middletown,19709,2005-11-29 00:00:00,Geothermal,Residential,,11150.0,2400.0,,,Paid,4.0,,
R00068,Newark,19711,2005-11-30 00:00:00,Geothermal,Residential,,6775.0,2100.0,,,Paid,3.5,,
