,year,category,economic_sectors,source,type,fuel_type,gas,value_mmtco2e
54,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00092942514
55,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00040688025
56,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.0007896596399999999
57,1990,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.00013252145669468495
58,1990,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.05987255192501067
59,1990,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.14975302393476406
60,1990,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.03675783395865295
61,1990,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.3645433003519603
62,1990,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.00008865215526840286
63,1990,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.0001883038078224836
64,1990,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.00030765139556684505
65,1990,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.018306421418765997
66,1990,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.045001428278624994
67,1990,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.046941075469967036
68,1990,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.3323120627059988
69,1990,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0.14512397041813788
70,1990,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,0.087827882647485
71,1991,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,CO2,4.796773942444
72,1991,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.1269592640659
73,1991,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.8269842507908666
