Application ID,City,Zip,Application Submission Date,Facility Type,Sector,PV Capacity (kW),Geothermal Capacity (tons),Wind Capacity (kW),Solar Water Capacity (sq ft),Total System Costs ($),Total Rebate,Mounting Location,PPA/Lease,Payment Status
5547,Wilmington,19810,12/29/2014,PV,residential,8000,,,,31520.00,5000.00,rooftop,lease,Unpaid
5550,Harrington,19952,01/17/2015,Geothermal,residential,,3,,,19200.00,2300.00,,,Paid
5551,Newark,19702,01/02/2015,PV,residential,4080,,,,19992.00,3468.00,rooftop,lease,Paid
5552,Wilmington,19810,01/02/2015,PV,residential,5610,,,,27489.00,4402.50,rooftop,lease,Unpaid
5553,Felton,19943,01/02/2015,PV,residential,6885,,,,33737.00,4721.25,rooftop,lease,Paid
5554,Dewey Beach,19971,01/14/2015,Geothermal,residential,,4,,,32750.00,3000.00,,,Paid
5555,Millsboro,19966,01/02/2015,PV,residential,5250,,,,25725.00,4312.50,rooftop,ppa,Paid
5556,Rehoboth Beach,19971,01/02/2015,PV,residential,5100,,,,24990.00,4275.00,rooftop,lease,Paid
5557,Hockessin,19707,01/02/2015,PV,residential,6630,,,,32487.00,4657.50,rooftop,lease,Paid
5558,Rehoboth Beach,19971,01/02/2015,PV,residential,4590,,,,22491.00,3901.50,rooftop,lease,Paid
5559,Wilmington,19809,01/03/2015,PV,residential,2295,,,,11246.00,1950.75,rooftop,lease,Paid
5560,Newark,19702,01/03/2015,PV,residential,6120,,,,29988.00,4530.00,rooftop,ppa,Paid
5561,Rehoboth Beach,19971,01/05/2015,PV,residential,5610,,,,27489.00,4402.50,rooftop,lease,Paid
5562,Seaford,19973,01/05/2015,PV,residential,2295,,,,38735.00,1950.75,rooftop,lease,Paid
5563,Dover,19901,01/05/2015,PV,residential,7650,,,,37485.00,4912.50,rooftop,lease,Paid
5564,Rehoboth Beach,19971,01/05/2015,PV,residential,5355,,,,26240.00,4338.75,rooftop,lease,Paid
5565,New Castle,19720,01/05/2015,PV,residential,3825,,,,18743.00,3251.25,rooftop,ppa,Paid
5566,Millsboro,19966,01/05/2015,PV,residential,5100,,,,24990.00,4275.00,rooftop,lease,Paid
5567,Newark,19702,01/05/2015,PV,residential,9180,,,,44982.00,5295.00,rooftop,ppa,Paid
5568,Rehoboth Beach,19971,01/05/2015,PV,residential,7905,,,,38735.00,4976.25,rooftop,lease,Unpaid
5570,Townsend,19734,01/05/2015,PV,residential,5100,,,,24990.00,4275.00,rooftop,lease,Paid
5572,Rehoboth Beach,19971,02/25/2016,PV,residential,5000,,,,27000.00,4250.00,rooftop,owned,Paid
5573,Millsboro,19966,01/05/2015,PV,residential,10965,,,,53729.00,5741.25,rooftop,ppa,Paid
5574,Newark,19702,01/05/2015,PV,residential,6885,,,,33737.00,4721.25,rooftop,ppa,Paid
5575,Wilmington,19808,01/05/2015,PV,residential,6120,,,,53729.00,4530.00,rooftop,ppa,Paid
5576,Newark,19702,01/05/2015,PV,residential,4250,,,,20825.00,3612.50,rooftop,lease,Paid
5577,Rehoboth Beach,19971,01/16/2015,PV,residential,4500,,,,22050.00,3825.00,rooftop,ppa,Paid
5578,Seaford,19973,01/05/2015,PV,residential,7905,,,,38735.00,4976.25,rooftop,lease,Paid
5579,New Castle,19720,01/05/2015,PV,residential,7905,,,,38735.00,4976.25,rooftop,lease,Paid
5584,Bethany Beach,19930,01/06/2015,PV,residential,9810,,,,41300.00,5452.50,rooftop,owned,Paid
5586,Townsend,19734,01/06/2015,PV,residential,5000,,,,19700.00,4250.00,rooftop,lease,Pending
5587,Frederica,19946,05/13/2015,PV,residential,5220,,,,20888.00,4305.00,rooftop,owned,Paid
5589,Middletown,19709,01/06/2015,PV,residential,15860,,,,62488.00,6965.00,rooftop,lease,Pending
5590,Bear,19701,01/07/2015,PV,residential,8670,,,,42483.00,5167.50,rooftop,lease,Unpaid
5591,Rehoboth Beach,19971,01/07/2015,PV,residential,7905,,,,38735.00,4976.25,rooftop,ppa,Paid
5592,Middletown,19709,01/07/2015,PV,residential,5610,,,,27489.00,4402.50,rooftop,lease,Paid
5593,Milford,19963,01/07/2015,PV,residential,10250,,,,50225.00,5562.50,rooftop,ppa,Paid
5594,Rehoboth Beach,19971,01/07/2015,PV,residential,1530,,,,22491.00,1300.50,rooftop,lease,Unpaid
5595,Lewes,19958,01/07/2015,PV,residential,11250,,,,55125.00,5812.50,rooftop,ppa,Paid
5596,Harrington,19952,01/22/2015,Geothermal,residential,,3,,,15150.00,2300.00,,,Paid
5597,Middletown,19709,01/07/2015,PV,residential,5355,,,,26240.00,4338.75,rooftop,ppa,Paid
5598,Millsboro,19966,05/04/2015,Geothermal,residential,,3,,,25044.00,2300.00,,,Paid
5599,Bear,19701,01/19/2015,PV,residential,5600,,,,15400.00,4400.00,rooftop,owned,Paid
5600,Bethany beach,19930,05/15/2015,Geothermal,residential,,5,,,31190.00,3700.00,,,Paid
5602,Townsend,19734,01/09/2015,PV,residential,7500,,,,22655.00,4875.00,rooftop,lease,Pending
5604,Bear,19701,01/08/2015,PV,residential,5500,,,,21670.00,4375.00,rooftop,lease,Pending
5606,Camden-Wyoming,19934,01/27/2015,PV,residential,5500,,,,21670.00,4375.00,rooftop,lease,Pending
5607,Milton,19968,04/09/2015,Geothermal,residential,,4,,,27900.00,3000.00,,,Paid
5608,Bethany beach,19930,09/23/2015,Geothermal,residential,,22,,,71238.00,5000.00,,,Paid
5610,Townsend,19734,01/09/2015,PV,residential,9000,,,,35460.00,5250.00,rooftop,lease,Unpaid
5612,Georgetown,19947,01/10/2015,PV,residential,9250,,,,36445.00,5312.50,rooftop,ppa,Pending
5613,Bridgeville,19933,03/04/2015,Geothermal,residential,,3,,,14000.00,2300.00,,,Paid
5615,Bear,19701,01/12/2015,PV,residential,5980,,,,23561.00,4495.00,rooftop,lease,Pending
5617,Newark,19702,01/12/2015,PV,residential,4335,,,,21242.00,3684.75,rooftop,owned,Paid
5619,Middletown,19709,01/12/2015,PV,residential,9000,,,,35460.00,5250.00,rooftop,lease,Unpaid
5623,Newark,19702,01/12/2015,PV,residential,6500,,,,25610.00,4625.00,rooftop,lease,Unpaid
5624,Cheswold,19936,01/12/2015,PV,residential,6630,,,,32487.00,4657.50,rooftop,ppa,Paid
5627,Bridgeville,19933,01/12/2015,PV,residential,13500,,,,53190.00,6375.00,rooftop,owned,Unpaid
5629,Bear,19701,01/13/2015,PV,residential,2500,,,,9850.00,2125.00,rooftop,lease,Unpaid
5631,Townsend,19734,01/13/2015,PV,residential,9000,,,,35460.00,5250.00,rooftop,lease,Unpaid
5633,Middletown,19709,01/13/2015,PV,residential,8840,,,,34830.00,5210.00,rooftop,lease,Pending
5635,Dover,19904,01/27/2015,PV,residential,7000,,,,27580.00,4750.00,rooftop,lease,Unpaid
5636,Wilmington,19804,02/12/2015,PV,residential,8260,,,,30684.00,5065.00,rooftop,owned,Paid
5638,Seaford,19973,01/15/2015,PV,residential,9750,,,,47775.00,5437.50,rooftop,lease,Paid
5642,Bethany Beach,19930,02/26/2015,PV,residential,7560,,,,22450.00,4890.00,rooftop,owned,Paid
5644,New Castle,19720,01/15/2015,PV,residential,6000,,,,23640.00,4500.00,rooftop,lease,Pending
5649,Dover,19904,01/28/2015,PV,residential,7250,,,,28565.00,4812.50,rooftop,lease,Pending
