district,year,month,system_cost,system_count,rebate,capacity,date,rebate_eff(W/$),tech_cost($/W)
20,2022,3,257155.0,8,45919.0,79915.0,1/3/22,1.74,3.22
3,2022,4,115542.0,4,21590.0,31960.0,1/4/22,1.48,3.62
5,2022,4,73296.0,2,9867.5,14285.0,1/4/22,1.45,5.13
6,2022,4,213190.0,7,31370.0,64130.0,1/4/22,2.04,3.32
8,2022,4,169461.0,5,28144.0,47770.0,1/4/22,1.7,3.55
10,2022,4,207172.0,8,47796.0,94320.0,1/4/22,1.97,2.2
13,2022,4,321043.0,8,41963.0,76580.0,1/4/22,1.82,4.19
14,2022,4,168379.0,4,24000.0,52305.0,1/4/22,2.18,3.22
17,2022,4,114632.0,3,16360.0,29560.0,1/4/22,1.81,3.88
20,2022,4,140649.0,4,21412.5,47515.0,1/4/22,2.22,2.96
3,2022,5,366836.0,12,56813.5,94915.0,1/5/22,1.67,3.86
4,2022,5,25000.0,1,5600.0,8000.0,1/5/22,1.43,3.12
5,2022,5,22000.0,1,4144.0,5920.0,1/5/22,1.43,3.72
6,2022,5,105911.0,5,22818.0,34060.0,1/5/22,1.49,3.11
8,2022,5,368595.0,11,51009.0,87615.0,1/5/22,1.72,4.21
10,2022,5,386057.0,15,85364.0,164080.0,1/5/22,1.92,2.35
13,2022,5,638992.0,17,85939.225,144071.75,1/5/22,1.68,4.44
14,2022,5,198624.0,5,17991.0,32310.0,1/5/22,1.8,6.15
17,2022,5,147589.0,4,18930.0,27315.0,1/5/22,1.44,5.4
18,2022,5,166196.0,3,18000.0,51920.0,1/5/22,2.88,3.2
20,2022,5,430047.0,16,84090.0,170740.0,1/5/22,2.03,2.52
21,2022,5,111369.0,4,20883.0,34890.0,1/5/22,1.67,3.19
3,2022,6,72360.0,2,13048.0,16310.0,1/6/22,1.25,4.44
4,2022,6,36910.0,1,6000.0,9600.0,1/6/22,1.6,3.84
6,2022,6,62229.0,1,8000.0,10800.0,1/6/22,1.35,5.76
8,2022,6,54895.0,1,8000.0,12900.0,1/6/22,1.61,4.26
10,2022,6,195393.0,7,38208.0,47840.0,1/6/22,1.25,4.08
13,2022,6,111804.0,3,19880.0,27230.0,1/6/22,1.37,4.11
14,2022,6,48346.0,1,3696.0,11220.0,1/6/22,3.04,4.31
17,2022,6,87676.0,2,13544.0,96930.0,1/6/22,7.16,0.9
20,2022,6,89795.0,2,16000.0,25680.0,1/6/22,1.6,3.5
3,2022,7,123054.0,4,27440.0,34700.0,1/7/22,1.26,3.55
5,2022,7,29600.0,1,4736.0,5920.0,1/7/22,1.25,5.0
6,2022,7,131603.0,4,20556.0,58665.0,1/7/22,2.85,2.24
8,2022,7,114194.0,5,37676.0,131015.0,1/7/22,3.48,0.87
9,2022,7,42661.0,1,7680.0,9600.0,1/7/22,1.25,4.44
10,2022,7,300135.0,9,50848.0,79130.0,1/7/22,1.56,3.79
13,2022,7,489307.0,13,85568.0,131000.0,1/7/22,1.53,3.74
15,2022,7,79096.0,2,10880.0,25350.0,1/7/22,2.33,3.12
17,2022,7,197079.0,5,28744.0,44835.0,1/7/22,1.56,4.4
18,2022,7,19314.0,1,3432.0,4290.0,1/7/22,1.25,4.5
20,2022,7,162503.0,5,36344.0,52799.0,1/7/22,1.45,3.08
3,2022,8,307595.0,7,43212.0,65620.0,1/8/22,1.52,4.69
6,2022,8,256204.0,8,51204.0,78455.0,1/8/22,1.53,3.27
8,2022,8,353132.0,8,51812.0,89475.0,1/8/22,1.73,3.95
10,2022,8,422351.0,11,64904.0,103635.0,1/8/22,1.6,4.08
13,2022,8,437621.0,13,54667.5,106730.0,1/8/22,1.95,4.1
15,2022,8,98737.0,1,8000.0,21870.0,1/8/22,2.73,4.51
16,2022,8,103599.0,2,13760.0,20480.0,1/8/22,1.49,5.06
17,2022,8,130254.0,3,18356.0,30485.0,1/8/22,1.66,4.27
20,2022,8,233618.0,6,43180.0,69450.0,1/8/22,1.61,3.36
21,2022,8,94980.0,2,14720.0,27060.0,1/8/22,1.84,3.51
3,2022,9,358116.0,12,52776.0,81820.0,1/9/22,1.55,4.38
4,2022,9,92855.0,2,14400.0,24800.0,1/9/22,1.72,3.74
5,2022,9,28358.0,1,6808.0,8510.0,1/9/22,1.25,3.33
6,2022,9,141390.0,5,31196.0,43395.0,1/9/22,1.39,3.26
8,2022,9,541344.0,15,84246.0,131735.0,1/9/22,1.56,4.11
9,2022,9,46216.0,1,8000.0,10400.0,1/9/22,1.3,4.44
10,2022,9,535209.0,12,77064.0,138850.0,1/9/22,1.8,3.85
12,2022,9,33754.0,1,7072.0,8840.0,1/9/22,1.25,3.82
13,2022,9,830966.0,20,110045.412,195778.265,1/9/22,1.78,4.24
14,2022,9,290949.0,8,48376.0,74735.0,1/9/22,1.54,3.89
15,2022,9,120574.0,3,17384.0,27450.0,1/9/22,1.58,4.39
